,Country,State,County,Confirmed,Recovered,Deaths
238,Suriname,,,10,0,1
239,Sweden,,,7206,205,477
240,Switzerland,,,21652,7298,762
241,Syria,,,19,2,2
242,Taiwan*,,,373,57,5
243,Tanzania,,,24,3,1
244,Thailand,,,2220,793,26
245,Timor-Leste,,,1,0,0
246,Togo,,,52,22,3
247,Trinidad and Tobago,,,105,1,8
248,Tunisia,,,574,5,22
249,Turkey,,,27069,1042,574
250,Uganda,,,52,0,0
251,Ukraine,,,1319,28,38
252,United Arab Emirates,,,2076,167,11
253,United Kingdom,,,51608,135,5373
254,Uruguay,,,406,104,6
255,Uzbekistan,,,397,30,2
256,Venezuela,,,159,52,7
257,Vietnam,,,245,95,0
258,West Bank and Gaza,,,253,25,1
259,Western Sahara,,,4,0,0
260,Zambia,,,39,3,1
261,Zimbabwe,,,9,0,1
262,US,,,347003,18953,10335
