Country,State,County,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
BB,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
BD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,2,4,0,4,0,4,6,0,0,1,4,3
BE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,-30,262,0,0,198,86,128,183,205,296,168,169,436,363,377,375,504
BF,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,3,0,2,9,2,8,1,14,4,0,16,24
BG,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,4,1,2,3,3,0,3,5,5,4,3
BH,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,8,13,0,9,0,16,17,4,7,12,0,25,24,0,28,0,27,23,38,7,7,16,42,44,1,41,8
BI,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
BN,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,6,14,9,4,7,7,4,9,1,7
BO,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
BR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,114,7,0,0,0,0,0
BS,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0
BT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BW,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BY,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,10,0,0,7,7,0,3,0,0,0,15,6,0,0,0,-1
BZ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,100,73,1,72,210,0,0,1126,-268,411,440,402,435
CD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
CF,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CG,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CH,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,116,0,0,0,0,1399,0,65,228,0,1144,1046,833,1569,0
CI,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,2,6,4,6,12
CL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,9,5,0,21,18,14,81,0,78,101,92,101,90
CM,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,5,0,7,0,0
CN,CN-AH,,0,0,0,0,0,0,0,2,0,1,2,2,7,6,3,11,13,12,13,16,17,22,30,36,28,34,25,81,52,61,65,58,40,26,49,32,48,29,47,5,44,19,20,14,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,CN-BJ,,0,0,1,1,0,0,2,0,0,1,4,0,3,11,1,7,2,1,3,7,4,8,13,11,18,10,6,8,23,8,16,9,11,9,17,20,13,9,14,5,6,6,9,0,2,4,5,7,5,6,8,8,7,4,7,9,9,2,10,6,4,0,1,2,3,2,2,2,3,3,0,6,10,4,3
CN,CN-CQ,,0,0,0,0,0,0,0,1,0,0,2,4,2,0,6,9,7,8,12,15,13,23,26,24,32,23,18,29,20,25,17,12,7,14,23,12,17,21,16,12,19,21,12,10,1,13,1,15,5,7,10,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,CN-FJ,,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,3,6,4,11,4,6,8,4,6,8,11,8,3,19,14,23,13,8,13,16,19,10,7,8,4,8,5,10,7,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2
CN,CN-GD,,0,2,0,0,0,2,0,1,5,1,3,1,6,9,19,20,19,24,29,26,45,63,39,48,48,55,59,41,41,36,48,38,27,31,36,29,39,45,48,33,43,42,32,48,35,21,19,4,14,8,7,7,3,5,2,1,6,5,5,2,4,3,1,3,0,1,4,8,2,5,1,8,3,10,9
CN,CN-GS,,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,3,3,4,1,7,7,8,0,10,5,4,4,3,6,5,0,2,2,0,1,0,1,0,2,1,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,7,15,1,0,5,0,2,2,2,0,0,0,2,0,0,4,0
CN,CN-GX,,0,0,0,0,0,0,2,0,0,0,0,0,5,3,3,1,3,0,1,6,9,-1,1,3,8,5,4,16,17,4,7,7,2,6,22,13,14,7,8,5,11,10,8,4,3,1,5,7,4,4,3,2,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CN,CN-GZ,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,-3,0,1,0,3,7,1,9,1,13,5,11,9,4,2,5,13,12,0,2,0,8,0,0,0,2,0,0,0,0,1,2,6,6,4,4,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,CN-HA,,0,0,0,0,0,0,0,1,1,1,0,7,6,11,20,9,30,30,37,38,27,28,50,61,34,49,69,13,51,64,99,94,38,75,59,31,35,44,58,28,7,26,3,5,5,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CN,CN-HB,,28,0,3,1,10,3,35,8,2,51,27,127,91,136,111,184,298,324,356,427,417,47,773,1315,849,1016,1223,1266,1209,1451,93,3418,44,1405,2223,1998,2414,3020,2590,2543,2398,2274,2349,2035,1441,1467,1735,1253,1255,1391,1184,1235,1407,1328,854,861,924,755,700,564,487,446,445,487,390,531,366,472,319,264,173,145,141,150,183
CN,CN-HE,,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,7,9,8,4,7,7,6,14,19,14,4,17,14,16,17,15,19,16,15,14,13,13,3,5,12,2,4,1,3,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,CN-HI,,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,3,2,4,5,0,1,7,3,13,-4,13,7,20,5,2,9,9,2,10,8,5,2,2,15,1,2,4,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,-6,0,0,0
CN,CN-HK,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,-1,1,5,8,0,5,0,6,3,3,0,1,0,6,3,5,7,1,6,0,2,10,1,3,3,4,4,3,3,0,2,0,1,1,8,0,2,0,11,5,19,0,26,0,33
CN,CN-HL,,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,1,4,1,1,16,-2,3,2,14,21,11,6,26,9,16,39,29,18,5,16,6,21,13,18,41,14,10,7,6,17,7,9,18,4,2,5,5,1,6,2,1,3,1,3,0,3,-1,3,0,1,0,0,0,0,0,0,0,0,0,0
CN,CN-HN,,0,0,0,0,0,0,0,0,2,0,6,8,6,9,23,27,31,44,30,22,39,57,35,25,61,39,34,29,34,73,27,31,22,17,37,15,21,26,16,20,21,19,10,22,17,5,8,11,11,5,4,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,CN-JL,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,8,1,5,4,2,1,1,4,4,2,1,6,2,7,2,6,3,2,2,6,2,3,5,0,3,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,CN-JS,,0,0,0,1,0,0,0,0,0,4,1,1,1,4,11,11,9,8,20,10,12,32,14,18,29,32,40,22,38,38,17,28,17,34,6,20,20,17,8,13,7,19,15,6,11,12,6,9,6,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CN,CN-JX,,0,0,0,0,0,2,1,0,2,2,2,3,6,2,7,10,8,10,18,32,23,24,18,17,23,30,35,35,52,71,56,66,58,32,38,36,35,36,21,20,19,20,14,17,8,7,3,4,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CN,CN-LN,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,2,1,4,1,6,1,2,7,2,9,3,10,2,4,2,5,7,7,3,5,5,0,3,7,0,3,0,0,0,1,2,0,2,0,1,0,1,1,1,5,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CN,CN-MO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,CN-NM,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,1,0,0,1,1,0,0,2,6,1,9,1,7,1,3,5,2,4,3,2,5,4,2,0,2,3,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,CN-NX,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,10,-2,0,9,2,0,0,9,0,2,7,0,2,4,0,8,2,3,4,3,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,CN-QH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,4,2,0,2,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,CN-SC,,0,0,0,0,0,0,0,1,0,0,2,8,3,0,10,7,11,18,11,9,5,7,12,10,5,12,25,13,19,29,14,19,11,15,13,18,14,17,13,14,21,8,12,19,17,12,10,2,12,10,10,5,8,5,0,4,5,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
CN,CN-SD,,0,0,0,0,0,0,0,1,0,1,1,3,1,4,4,12,10,7,19,3,14,12,13,31,20,17,18,20,20,23,27,21,19,22,12,22,10,18,16,22,17,51,5,62,40,9,15,58,19,7,8,5,2,0,5,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0
CN,CN-SH,,0,0,1,0,0,2,1,1,0,4,1,0,0,2,3,10,5,11,3,4,4,5,5,28,34,16,21,16,9,13,12,16,22,12,7,4,4,3,8,3,2,2,4,5,3,7,1,1,4,1,1,3,0,0,1,0,1,0,0,1,1,1,1,0,1,3,0,0,4,3,0,2,5,8,27
CN,CN-SN,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,8,3,5,5,2,11,3,8,6,11,8,10,13,16,16,15,14,10,13,6,3,4,8,1,8,0,7,1,2,0,1,0,0,5,0,0,0,0,1,3,1,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,2,1,0
CN,CN-SX,,0,0,0,0,0,0,0,1,0,0,0,2,-1,2,1,7,3,6,4,0,5,3,3,2,8,4,3,8,7,8,2,3,7,6,4,6,3,5,2,2,3,5,0,2,0,0,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,CN-TJ,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,4,2,1,10,10,6,8,1,2,6,5,3,3,16,6,4,5,6,0,7,2,0,13,0,4,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,4,0
CN,CN-XJ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,2,0,0,8,2,2,1,3,2,0,4,9,9,10,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,CN-XZ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,CN-YN,,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,2,5,5,1,1,1,6,1,9,6,0,5,10,3,19,17,11,8,9,5,15,6,6,1,6,5,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,CN-ZJ,,0,0,1,0,0,0,2,0,1,10,7,11,11,19,16,16,29,52,26,41,28,51,39,43,25,28,51,28,69,29,46,40,41,22,26,59,65,43,41,30,23,24,21,10,23,7,7,15,15,4,2,0,14,0,5,0,0,1,2,0,0,2,0,0,1,0,3,0,0,1,0,2,0,1,1
CO,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,2,0,2,0,0,5,16,8,16,0,30,3
CR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,2,5,2,3
CU,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,4,4,1,2,0,0
CV,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,11,0,0,7,1,5,0,0,5,4
