Country,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07
AD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.12732189506019,26.25464379012038,39.38196568518057,52.50928758024076,78.76393137036114,105.01857516048152,131.2732189506019,170.65518463578246,210.03715032096304,262.5464379012038,315.05572548144454,380.69233495674547,446.3289444320464,525.0928758024075,603.8568071727686,695.74806043819,800.7666355986715,918.9125326542132,1037.058429709755
AE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10638133773468389,0.21276267546936778,0.31914401320405167,0.42552535093873556,0.5319066886734194,0.6382880264081033,0.8510507018774711,1.0638133773468388,1.2765760528162067,1.5957200660202582,1.91486407922431,2.3403894301630452,2.765914781101781,3.2978214697752,3.936109496183304,4.574397522591407,5.319066886734194,6.170117588611665,7.12754962822382,8.297744343305343,9.57432039612155,10.957277786672439,12.552997852692698,14.361480594182323,16.38272601114132,18.61673410356968,21.16988620920209,23.93580099030387
AF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286198066749231,0.0572396133498462,0.0858594200247693,0.1144792266996924,0.1430990333746155,0.2003386467244617,0.2575782600743079,0.3148178734241541,0.4006772934489234,0.4865367134736927,0.572396133498462,0.6868753601981544,0.8013545868978468,0.9444536202724623,1.0875526536470776
AG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33110291373875117,0.6622058274775023,0.9933087412162536,1.3244116549550047,1.655514568693756,2.3177203961712585,2.9799262236487607,3.642132051126263,4.635440792342517,5.62874953355877,6.622058274775024,7.9464699297300285,9.270881584685034,10.595293239640037,12.250807808333795,13.90632237702755,15.892939859460057,17.879557341892564,19.86617482432507
AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34124451875991746,0.6824890375198349,1.0237335562797523,1.3649780750396698,2.0474671125595045,2.7299561500793397,3.412445187599174,4.436178743878926,5.459912300158679,6.824890375198348,8.531112968997936,10.237335562797524,12.284802675357026,14.673514306676449,17.062225937995873,19.79218208807521,22.86338275691447,26.27582794451364,30.02951765087273,34.124451875991745,38.56063061987067,43.33805388250951
AO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02225252917796131,0.04450505835592262,0.06675758753388393,0.08901011671184524,0.13351517506776786,0.17802023342369047,0.2447778209575744,0.31153540849145833,0.40054552520330355,0.51180817109311,0.645323346160878,0.7788385212286458,0.9346062254743749,1.1348789880760266,1.3574042798556398,1.6021821008132142,1.8914649801267114,2.2030003886181695,2.5590408554655504,2.959586380668854,3.382384435050119,3.8496875477873065,4.361495718880416,4.9400614775074105
AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11351753142051751,0.22703506284103503,0.45407012568207006,0.6811051885231051,1.0216577827846578,1.4757279084667279,2.0433155655693156,2.7244207540924203,3.519043474036043,4.540701256820701,5.789394102446394,7.265122010913121,9.081402513641402,11.238235610631234,13.849138833303138,16.91411218165711,20.546673187113672,24.74682184967282,29.628075700755073,35.30395227178095,41.77445156275044,49.26660863650461,57.78042349304342,67.42941366378741,78.3270966801571,90.58699007357299,104.20909384403508,119.42044305438444,136.22103770462104,154.72439532616536,174.9305159190175,196.95291701459792,220.79159861290657,246.56007824536408,274.1448383805498,303.5458790184639
AU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04079667751858289,0.08159335503716578,0.12239003255574865,0.20398338759291446,0.36717009766724595,0.5711534852601604,0.7751368728530749,1.0199169379645723,1.3462903581132353,1.7542571332990642,2.243817263522059,2.8557674263008024,3.549310944116711,4.365244494488369,5.344364754934358,6.486671725454679,7.751368728530748,9.17925244168115,10.851916219943048,12.687766708279279,14.84999061676417,17.256994590360563,19.990371984105614,23.009326120480747,26.31385699948596,29.903964621121254,33.77964898538663,37.94091009228209,42.46934129684479
