Country,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20
NI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,25.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.32,0.0,0.0,0.0,2.37,0.0,1.79,-43.06,0.0,0.0,0.0,0.0,0.0,-33.33,8.89,0.0
NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.78,0.25,-0.59,0.19,-0.11,0.06,0.0,-0.25,-0.21,-0.47,0.09,-0.78,-0.29,-0.28,-0.42,-0.18,-0.5,-0.21,-0.48,-0.59,-0.29,-0.49,-0.17,-2.79,-0.07,-0.75,-0.27,-0.34,-0.23,-0.4,0.17,0.03,-0.81,-0.14,-0.01,0.17,0.08,0.16,0.1,-0.08,-0.39,-0.19,0.01,-0.01,0.13,0.0
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,0.23,0.07,0.03,0.04,-0.27,0.04,0.03,0.03,-0.18,0.0,0.03,0.04,0.03,-0.07,-0.2,-0.02,0.06,-0.07,-0.07,0.0,-0.23,-0.13,-0.04,-0.42,-0.09,0.0,-0.12,-0.03,-0.14,-0.2,-0.06,-0.04,-0.06,-0.09,-0.06,-0.06,-0.12,0.03,-0.1,-0.01,0.01,0.01
NP,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,16.67,0.0,8.32,5.0,0.0,0.0,0.0,0.0,3.32,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,1.18,0.89,0.0,-6.25,5.82,0.21,-6.45,0.0
NZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.73,-2.99,1.18,-0.5,-1.04,0.0,0.21,-0.71,-0.26,0.18,-0.31,-1.48,-1.64,-0.89,-4.85,-2.53,-2.28,-3.56,-3.23,-3.23,-5.14,-5.78,-6.53,-2.42,-3.08,-3.05,-2.82,-3.89
OM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,-16.67,0.0,0.0,0.0,3.34,0.82,0.0,0.0,0.0,0.0,-37.5,0.0,0.0,2.63,0.0,6.46,0.0,3.4,6.73,5.76,0.0,1.92,-7.82,5.14,5.52,3.06,-3.92,3.53,2.43,1.35,-2.43,-2.03,1.56,-8.43,2.09,0.28,1.59,2.1,0.43,0.93,-6.85,1.37,2.62,1.65,1.25,1.12,1.64,-2.81,0.62,1.6,-3.53,1.57
PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-12.5,3.4,5.39,0.92,0.45,0.51,0.36,0.29,0.23,0.18,0.23,-0.45,-0.78,-0.29,0.0,0.23,0.16,-0.41,-0.28,-0.5,-0.46,0.0,0.18,-0.07,-0.04,-0.04,-0.09,0.07,-0.03,0.2,0.14,-0.07,-0.09,-0.25,-1.04,-0.21,-0.07,-0.4,-0.5,-0.42,-0.43
PE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.84,0.15,0.25,-1.27,-0.18,0.23,0.13,-0.4,-0.15,-1.89,-0.28,-0.51,0.78,-4.12,-31.7,7.15,-9.21,4.37,-19.04,9.53,4.47,-5.13,14.17,3.5,0.51,1.42,1.56,-2.72,-0.87,0.78,-21.89,0.46,1.94,2.63,0.0
PG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,-33.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67,6.67,13.32,10.0,0.9,2.96,-1.56,-3.25,1.92,-0.28,-0.56,0.76,-2.78,0.35,0.21,0.87,-0.62,0.23,0.85,-0.1,-0.26,-0.26,1.01,1.6,0.2,1.19,0.25,0.31,-0.23,-0.26,-0.15,0.2,-0.48,-0.25,-0.83,-0.59,-0.51,-1.5,-0.66,-0.76,-0.81,-1.2,-0.79,-0.12,-0.67,0.0
