Country,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20
AT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,9,13,18,24,31,40,51,64,80,99,122,149,181,218,261,311,368,434,509,594,690,798,919,1054,1203,1367,1547,1743,1956,2186,2433,2697,2978,3275,3587,3914,4255,4609,4974,5349,5732,6122,6517,6915,7314
CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,10,14,19,26,35,46,59,75,94,117,145,178,217,263,317,380,453,537,634,745,871,1014,1175,1356,1558,1782,2030,2303,2602,2928,3282,3664,4074,4513,4981,5477,6001,6551,7126,7725,8346,8987,9646,10321,11008,11705,12410,13119
CN,19,43,74,113,163,225,304,400,517,658,829,1030,1265,1540,1860,2226,2647,3125,3670,4285,4971,5737,6589,7527,8556,9678,10899,12214,13629,15141,16745,18438,20224,22092,24039,26057,28136,30269,32449,34662,36898,39146,41396,43636,45854,48040,50182,52273,54304,56263,58150,59956,61672,63300,64836,66278,67621,68870,70022,71087,72061,72954,73762,74497,75161,75757,76292,76772,77197,77576,77913,78215,78482,78717,78926,79111,79275,79423,79559,79683,79797,79902,79999,80091,80174,80253,80329,80402,80471,80540
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,8,11,15,21,28,38,50,66,86,110,140,177,223,279,347,430,529,648,789,956,1153,1384,1654,1968,2331,2749,3229,3777,4400,5104,5897,6786,7779,8882,10103,11448,12923,14533,16283,18177,20218,22407,24744,27229,29860,32634,35546,38590,41758,45042,48431,51914,55479,59112
ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,11,17,25,35,48,65,87,114,149,192,246,313,395,494,614,758,930,1135,1377,1662,1996,2386,2838,3361,3962,4650,5434,6324,7329,8459,9724,11134,12698,14426,16326,18406,20672,23129,25783,28635,31688,34941,38393,42039,45874,49892,54081,58431,62930,67562,72313,77165
FR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,10,14,19,26,34,45,58,74,94,119,149,186,231,284,348,424,514,621,746,893,1064,1262,1490,1752,2054,2398,2788,3234,3737,4305,4942,5655,6448,7327,8299,9369,10542,11823,13217,14733,16371,18137,20034,22064,24231,26537,28983,31566,34290,37148,40140,43259,46502
IT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,9,13,18,25,34,46,61,79,102,130,165,208,260,323,399,489,596,723,873,1049,1255,1494,1771,2091,2459,2879,3358,3902,4517,5210,5987,6855,7822,8894,10078,11380,12807,14364,16056,17889,19866,21990,24264,26688,29262,31985,34855,37869,41022,44308,47721,51253,54895,58637,62470,66382,70362,74397,78475,82583,86709
JP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,9,11,13,15,18,21,24,28,32,37,42,48,54,61,68,76,85,95,105,116,128,141,155,170,186,204,223,243,265,288,313,339,367,397,429,463,499,538,580,625,673,724,779,838,902,971,1046,1126,1213,1307,1408,1518,1636,1763,1900,2047,2204,2372,2551
KR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,10,14,19,25,32,41,52,65,81,100,122,148,178,213,254,301,355,417,487,566,655,754,864,985,1117,1261,1417,1585,1765,1956,2158,2371,2594,2826,3066,3313,3566,3823,4083,4345,4608,4870,5131,5389,5642,5890,6132,6368,6596,6816,7028,7232,7427,7613,7791,7960,8121,8274,8419,8557,8687,8811,8928,9039,9145
NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,10,13,17,22,28,35,44,55,67,81,98,117,139,164,193,226,263,304,350,401,457,518,585,658,737,823,915,1013,1118,1229,1347,1471,1601,1737,1879,2026,2178,2334,2494,2658,2825,2994,3165,3337,3510,3683
