,name
CN-AH,Anhui
CN-BJ,Beijing
CN-CQ,Chongqing
CN-FJ,Fujian
CN-GS,Gansu
CN-GD,Guangdong
CN-GX,Guangxi
CN-GZ,Guizhou
CN-HI,Hainan
CN-HE,Hebei
CN-HL,Heilongjiang
CN-HA,Henan
CN-HK,Hong Kong
CN-HB,Hubei
CN-HN,Hunan
CN-NM,Inner Mongolia
CN-JS,Jiangsu
CN-JX,Jiangxi
CN-JL,Jilin
CN-LN,Liaoning
CN-MO,Macau
CN-NX,Ningxia
CN-QH,Qinghai
CN-SN,Shaanxi
CN-SD,Shandong
CN-SH,Shanghai
CN-SX,Shanxi
CN-SC,Sichuan
CN-TJ,Tianjin
CN-XZ,Tibet
CN-XJ,Xinjiang
CN-YN,Yunnan
CN-ZJ,Zhejiang
