,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28
Total Deaths,17,18,26,42,56,82,131,133,171,213,259,362,426,492,564,634,719,806,906,1013,1113,1118,1371,1523,1666,1770,1868,2007,2122,2247,2251,2458,2469,2629,2708,2770,2814,2872,2941,2996,3085,3160,3254,3348,3460,3558,3802,3988,4262,4615,4720,5404,5819,6440,7126,7905,8733,9867,11299,12973,14651,16505,18625,21181,23970,27198,30652
Total Active,519,593,841,1279,1899,2620,5143,5633,7546,9056,10950,15395,18190,21860,25211,27934,31025,33188,35572,37461,38713,38358,52397,57818,58784,59742,60445,60854,59809,58709,57698,57518,56067,54592,53352,52183,51335,50408,49936,49877,49310,49308,48989,49118,50346,51684,52764,53659,55676,59781,59288,72517,79962,87546,97700,109011,122284,144983,168986,195267,221405,255706,287853,328893,381517,434921,491215
Total Recovered,19,43,74,113,163,225,304,400,517,658,829,1030,1265,1540,1860,2226,2647,3126,3672,4288,4976,5745,6600,7544,8580,9712,10945,12275,13708,15241,16870,18596,20422,22340,24346,26435,28597,30832,33134,35496,37911,40372,42877,45420,47995,50605,53255,55943,58682,61479,64344,67284,70320,73468,76748,80186,83804,87650,91750,96156,100897,106024,111567,117579,124104,131172,138839
Total Confirmed,555,654,941,1434,2118,2927,5578,6166,8234,9927,12038,16787,19881,23892,27635,30794,34391,37120,40150,42762,44802,45221,60368,66885,69030,71224,73258,75136,75639,76197,76819,78572,78958,79561,80406,81388,82746,84112,86011,88369,90306,92840,95120,97886,101801,105847,109821,113590,118620,125875,128352,145205,156101,167454,181574,197102,214821,242500,272035,304396,336953,378235,418045,467653,529591,593291,660706
