,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
CN-QH,0.0,0.0,0.0,1.0,1.0,6.0,6.0,6.0,8.0,8.0,9.0,11.0,13.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,13.0,9.0,7.0,7.0,5.0,5.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN-SC,5.0,8.0,15.0,28.0,44.0,69.0,90.0,106.0,140.0,175.0,203.0,219.0,239.0,267.0,276.0,289.0,301.0,303.0,314.0,324.0,331.0,343.0,346.0,348.0,350.0,347.0,336.0,336.0,323.0,300.0,291.0,273.0,262.0,248.0,237.0,221.0,210.0,197.0,184.0,170.0,149.0,141.0,129.0,111.0,94.0,82.0,72.0,70.0,58.0,48.0,38.0,33.0,25.0,20.0,20.0,17.0,12.0,1.0,2.0,3.0,4.0,4.0,6.0,8.0,8.0,9.0,9.0,11.0,11.0,11.0,12.0,14.0,15.0,16.0,16.0
CN-SD,2.0,6.0,15.0,27.0,46.0,75.0,95.0,129.0,157.0,182.0,203.0,224.0,252.0,264.0,292.0,320.0,349.0,372.0,380.0,399.0,406.0,403.0,402.0,385.0,374.0,362.0,348.0,329.0,310.0,288.0,464.0,444.0,429.0,407.0,395.0,373.0,363.0,345.0,329.0,309.0,292.0,241.0,236.0,174.0,134.0,125.0,110.0,52.0,33.0,28.0,20.0,14.0,12.0,12.0,7.0,8.0,8.0,7.0,7.0,8.0,10.0,10.0,9.0,10.0,12.0,13.0,13.0,13.0,13.0,14.0,14.0,15.0,17.0,16.0,17.0
CN-SH,9.0,16.0,19.0,32.0,38.0,49.0,61.0,90.0,106.0,125.0,158.0,171.0,192.0,206.0,227.0,231.0,246.0,244.0,248.0,250.0,250.0,253.0,252.0,227.0,201.0,187.0,171.0,155.0,145.0,133.0,121.0,105.0,83.0,71.0,65.0,62.0,58.0,55.0,47.0,44.0,42.0,41.0,37.0,33.0,33.0,26.0,25.0,24.0,22.0,21.0,20.0,19.0,26.0,26.0,27.0,30.0,32.0,34.0,42.0,50.0,72.0,71.0,80.0,98.0,115.0,129.0,146.0,153.0,155.0,163.0,169.0,173.0,172.0,167.0,142.0
CN-SN,0.0,3.0,5.0,15.0,22.0,35.0,46.0,56.0,63.0,87.0,101.0,116.0,128.0,140.0,159.0,164.0,167.0,175.0,183.0,183.0,187.0,182.0,183.0,176.0,172.0,165.0,161.0,151.0,140.0,126.0,110.0,95.0,81.0,71.0,58.0,52.0,49.0,45.0,37.0,36.0,28.0,28.0,21.0,20.0,18.0,18.0,17.0,17.0,17.0,12.0,11.0,11.0,11.0,11.0,10.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,8.0,8.0,8.0
CN-SX,1.0,1.0,1.0,6.0,9.0,13.0,27.0,26.0,34.0,38.0,46.0,63.0,72.0,77.0,76.0,84.0,89.0,94.0,94.0,94.0,94.0,93.0,90.0,89.0,82.0,79.0,77.0,70.0,63.0,56.0,54.0,51.0,44.0,39.0,35.0,29.0,26.0,21.0,19.0,17.0,14.0,9.0,9.0,7.0,7.0,7.0,7.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0
CN-TJ,4.0,4.0,8.0,10.0,14.0,23.0,24.0,27.0,31.0,32.0,41.0,47.0,59.0,65.0,66.0,76.0,78.0,83.0,86.0,86.0,94.0,99.0,95.0,86.0,82.0,76.0,76.0,77.0,73.0,69.0,67.0,67.0,51.0,45.0,41.0,36.0,31.0,31.0,24.0,22.0,22.0,9.0,9.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,9.0,9.0,15.0,19.0,25.0,30.0,38.0,36.0,38.0,38.0,37.0,33.0,33.0
CN-XJ,0.0,2.0,2.0,3.0,4.0,5.0,10.0,13.0,14.0,17.0,18.0,21.0,24.0,29.0,32.0,36.0,39.0,42.0,45.0,49.0,52.0,56.0,56.0,58.0,59.0,58.0,62.0,63.0,55.0,53.0,51.0,49.0,46.0,44.0,44.0,40.0,31.0,21.0,11.0,9.0,7.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN-XZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN-YN,1.0,2.0,5.0,11.0,16.0,26.0,44.0,55.0,70.0,82.0,91.0,102.0,112.0,117.0,123.0,126.0,126.0,121.0,123.0,130.0,133.0,128.0,129.0,126.0,126.0,129.0,124.0,115.0,111.0,93.0,76.0,65.0,57.0,48.0,43.0,28.0,22.0,16.0,15.0,9.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,6.0,6.0,6.0,8.0,8.0,9.0,10.0,10.0,10.0
CN-ZJ,10.0,27.0,42.0,61.0,103.0,127.0,170.0,293.0,424.0,524.0,578.0,629.0,681.0,767.0,817.0,860.0,883.0,873.0,874.0,850.0,847.0,810.0,785.0,752.0,734.0,711.0,664.0,637.0,570.0,541.0,523.0,485.0,444.0,422.0,396.0,337.0,272.0,229.0,188.0,158.0,136.0,119.0,98.0,90.0,67.0,60.0,53.0,38.0,23.0,19.0,17.0,17.0,15.0,19.0,14.0,15.0,15.0,15.0,14.0,16.0,18.0,16.0,18.0,19.0,20.0,24.0,25.0,28.0,29.0,30.0,30.0,29.0,31.0,32.0,32.0
