,name
CA-AB,Alberta
CA-BC,British Columbia
XGP,Grand Princess
CA-MB,Manitoba
CA-NB,New Brunswick
CA-NL,Newfoundland and Labrador
CA-NT,Northwest Territories
CA-NS,Nova Scotia
CA-ON,Ontario
CA-PE,Prince Edward Island
CA-QC,Quebec
CA-SK,Saskatchewan
